id,action,pos_x,pos_y
2,three musketeers,274.24,709.85
4,fireball,377.91,215.59
6,mini pekka,115.92,438.61
12,giant,384.5,413.5
14,archers,386.39,415.5
24,knight,268.59,543.09
29,musketeer,413.72,328.1
32,mini pekka,116.86,436.6
34,minions,108.38,540.08
36,fireball,180.0,181.43
44,giant,413.72,293.95
45,arrows,129.11,432.58
48,mini pekka,63.14,532.04
49,minions,120.63,490.85
54,knight,403.35,307.01
56,musketeer,421.26,334.13
56,fireball,122.51,219.61
59,mini pekka,111.2,435.6
61,archers,0.0,0.0
