id,action,pos_x,pos_y
3,mini pekka,266.7,698.8
7,fireball,384.5,221.62
8,minions,401.47,451.67
9,arrows,384.5,412.49
12,archers,392.04,413.5
17,three musketeers,289.32,609.39
22,mini pekka,409.01,452.67
29,fireball,384.5,363.26
33,giant,274.24,697.8
40,archers,393.93,468.75
45,knight,393.93,414.5
48,musketeer,386.39,396.42
50,fireball,381.68,206.55
52,mini pekka,377.91,444.64
53,minions,402.41,469.75
58,giant,447.64,612.41
62,arrows,335.5,214.58
63,musketeer,291.2,466.74
67,mini pekka,416.54,478.79
70,mini pekka,0.0,0.0
